indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih,demarcacion
1426,"PONTENOVA, LA                      ",,1,662,819,24,76.0,1111.0,11,11,0,1244,27048,646864,4802149,160614,4809077,-71121,432121,-71121,432121,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",160503,4808872,N020,CANTABRICO
1427,SAN TIRSO DE ABRES                 ,,1,712,819,25,21.0,1111.0,98,108,30,1244,33063,650387,4808608,164597,4815273,-70833,432452,-70838,432448,,164486,4815068,A048,CANTABRICO
1429,MAZO DE MEREDO                     ,,1,51,85,25,108.0,,9,9,0,1917,33074,662419,4811622,176827,4817416,-65935,432621,-65940,432617,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",176716,4817211,A616,CANTABRICO
1912,PLUVIOGRAFO (CACES)                ,INT 1916                                                              ,0,1619,4866,52,109.0,,2,2,0,1166,33057,264526,4799746,264526,4799746,-55413,431847,-55418,431843,,264417,4799541,,CANTABRICO
1916,PEÑAMELLERA                        ,INT 1921                                                              ,0,460,496,56,54.0,,2,2,0,1131,33046,363969,4798351,363969,4798351,-44040,431930,-44045,431926,,363862,4798146,,CANTABRICO
1917,CABEZON DE LA SAL                  ,INT 1946                                                              ,0,392,1006,57,128.0,,2,2,0,1098,39012,399800,4793226,399800,4793226,-41406,431704,-41411,431660,,399693,4793020,,CANTABRICO
1937,CALDAS DE BESAYA                   ,INT 1993. HASTA EL AÑO HIDROLÓGICO 1992-93 EL INDICATIVO ERA 1237     ,0,420,482,58,58.0,1396.0,24,24,0,1111,39025,412951,4793109,412951,4793109,-40422,431706,-40427,431702,,413070,4793180,,CANTABRICO
2000,VINUESA                            ,,1,126,157,317,1090.0,1880.0,59,59,25,2004,42215,520210,4640160,520210,4640160,-24523,415445,-24527,415441,,520102,4639952,,DUERO
2001,SALIDA EMBALSE DE CUERDA DEL POZO  ,,1,580,97620,317,1049.0,2315.0,29,29,17,2001,42160,525568,4636302,525568,4636302,-24131,415239,-24135,415235,,525460,4636094,,DUERO
2002,GARRAY-SORIA                       ,,1,1500,97620,350,1007.0,2315.0,97,107,48,2021,42094,545390,4627600,545390,4627600,-22713,414754,-22718,414750,,545282,4627392,,DUERO
2003,QUINTANATELLO DE OJEDA             ,INT 1995                                                              ,0,56,276,133,934.0,1807.0,56,61,16,2139,34114,381610,4732185,381610,4732185,-42646,424356,-42651,424352,,381502,4731978,,DUERO
2004,GORMAZ                             ,,1,5055,97620,405,880.0,2315.0,82,91,58,2045,42097,499230,4592975,499230,4592975,-30033,412916,-30038,412911,,499122,4592767,,DUERO
2005,OSMA                               ,,1,900,1035,377,890.0,1335.0,74,74,43,2060,42043,493125,4602860,493125,4602860,-30457,413436,-30502,413432,,493016,4602652,,DUERO
2006,HOYOS DEL ESPINO                   ,,1,88,7257,555,1377.0,2592.0,95,105,44,2324,5105,314785,4468115,314785,4468115,-51050,402032,-51055,402028,,314676,4467908,,DUERO
2007,SAN ESTEBAN DE GORMAZ              ,INT 1991                                                              ,0,6494,97620,376,850.0,2315.0,61,71,35,2063,42162,482385,4602845,482385,4602845,-31241,413435,-31246,413431,,482277,4602636,,DUERO
